CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
2.3A,1,6,-0.1054661663951597,-0.2156477380495089,-0.0781594697183849,-0.12169523,-0.16978888,-0.142021
2.3A,2,1,0.0257997540461246,0.2025233461038835,0.0957623827734323,0.12987059,0.1345819,0.005109
2.3A,3,1,0.0096976620180135,0.1288169906333161,0.0551739096827751,0.03967463,0.0485815,0.017103
2.3A,4,1,0.0182638224298391,0.138084177230496,0.0589200577262294,0.05412953,0.06553134,0.021533
2.3A,5,1,0.0245394618134426,0.1666047060286363,0.0685080146196233,0.06373858,0.06900211,0.014475
2.3A,6,8,-0.0104209626448228,-0.1969185915483583,-0.1037596947292814,-0.09867363,-0.08433599,0.033769
2.3A,7,8,0.0375864287610174,-0.2234628903984647,-0.096445200354394,-0.06704447,-0.06357199,0.050058
2.4A,1,6,-0.1121110349966409,-0.2193456892384611,-0.0797838514371,-0.12086347,-0.16664893,-0.13803
2.4A,2,1,0.0315730335931825,0.1953105194007517,0.0859207587130158,0.11109979,0.11471605,0.004848
2.4A,3,1,0.0138071817048471,0.1292426202021218,0.0561072058496061,0.03975412,0.04786732,0.019436
2.4A,4,1,0.0197337001315324,0.1378662406020129,0.0596182067409878,0.05139946,0.06109783,0.022286
2.4A,5,1,0.0252303481701376,0.163878017980535,0.0690229282359521,0.05949081,0.06427046,0.015379
2.4A,6,8,-0.0217764304287588,-0.1925032506951223,-0.0968228306901827,-0.0824969,-0.06777576,0.031987
2.4A,7,8,0.043543201935944,-0.2144484582518381,-0.0940624174122791,-0.0583838,-0.05352697,0.044123
2.5A,1,6,-0.1144004994577903,-0.2226665557489078,-0.0819577389640349,-0.12040552,-0.16379279,-0.134072
2.5A,2,1,0.0342736171067245,0.1891928230515754,0.0800257352178777,0.09592105,0.09857224,0.005327
2.5A,3,1,0.0169649836088934,0.1295780949651898,0.0559713357066141,0.03958626,0.0470105,0.02134
2.5A,4,1,0.0210571068666518,0.1376244809211093,0.0592542235244596,0.04894124,0.05724091,0.023129
2.5A,5,1,0.0255368502018782,0.1614388561376096,0.068444788036748,0.05580188,0.05998462,0.016442
2.5A,6,8,-0.023305892194305,-0.188664990837139,-0.0910349070972035,-0.06907976,-0.05425822,0.029301
2.5A,7,8,0.0398738340816413,-0.2065027084894373,-0.090703436424461,-0.05076516,-0.04475726,0.03856
2.6A,1,6,-0.1136160889049477,-0.2256249061785285,-0.084483522020229,-0.12047104,-0.16138563,-0.130445
2.6A,2,1,0.0345388605755211,0.183956532423496,0.0763403924175579,0.08373897,0.08549191,0.006299
2.6A,3,1,0.01926542307386,0.129868567078413,0.0552360410362556,0.03924312,0.04607689,0.022879
2.6A,4,1,0.022079514699741,0.1373903336041555,0.0582912055120041,0.0467607,0.05392083,0.023942
2.6A,5,1,0.0255493582873482,0.159274983011754,0.0672158701954477,0.05259135,0.05616753,0.017552
2.6A,6,8,-0.0193050637582103,-0.1851457147313616,-0.0858682549574026,-0.05786794,-0.04314348,0.02633
2.6A,7,8,0.0314879941719998,-0.1997197952079285,-0.0867317321836338,-0.04399516,-0.03712804,0.033471
2.7A,1,6,-0.1111419110599016,-0.228268675173754,-0.0872023847899677,-0.1210062,-0.1594546,-0.127242
2.7A,2,1,0.0333400707371486,0.1794341684729423,0.0737117077899274,0.07399971,0.0749294,0.007567
2.7A,3,1,0.020872651341771,0.1301203723826915,0.0541998054595411,0.03879251,0.04513001,0.024103
2.7A,4,1,0.0227960466890879,0.1371647367686095,0.0570255800358356,0.04484266,0.05108894,0.024671
2.7A,5,1,0.0253810745324001,0.1573454566455396,0.0656300970774621,0.04980209,0.05282321,0.018641
2.7A,6,8,-0.0137196836142923,-0.1819017744488366,-0.0809720432355424,-0.048456,-0.03397896,0.023374
2.7A,7,8,0.0224717517801322,-0.1938942846471924,-0.0823927623372563,-0.03797476,-0.03053801,0.028914
2.8A,1,6,-0.1080822966258479,-0.2306389252133881,-0.0900147782970729,-0.12188669,-0.15797672,-0.124499
2.8A,2,1,0.031535411652069,0.1754949698396196,0.07149917403715,0.06622391,0.0664316,0.009014
2.8A,3,1,0.0219620867484369,0.1303363139907119,0.0530295839668439,0.03828972,0.04421818,0.025064
2.8A,4,1,0.023266435016769,0.1369457861965528,0.0556252475693149,0.04316535,0.04869489,0.0253
2.8A,5,1,0.0251334098109574,0.1556139520316417,0.0638597759273689,0.0473868,0.04993669,0.01967
2.8A,6,8,-0.0088417450444244,-0.1789076412381873,-0.076159793037364,-0.04053704,-0.02642265,0.020593
2.8A,7,8,0.0150266989133116,-0.1888444556069507,-0.0778392101662409,-0.03264205,-0.02488199,0.024885
2.9A,1,6,-0.1051390878324747,-0.2327706457868429,-0.0928651658840082,-0.12298295,-0.15690587,-0.12217
2.9A,2,1,0.0296955945496639,0.1720368826832226,0.0694017513904816,0.060011,0.0596441,0.010542
2.9A,3,1,0.022686325935286,0.1305194116301147,0.0518097062446804,0.03777295,0.04337817,0.02581
2.9A,4,1,0.0235629266041036,0.1367321240557517,0.0541769309121253,0.04170409,0.04669895,0.025825
2.9A,5,1,0.0248777978254047,0.1540510960594169,0.0619986087449875,0.0452997,0.04749231,0.020617
