CID,Atom number,Atom type,CEH-v2,EEQ,EEQ_BC,GFN1-xTB,GFN2-xTB,wB97M-V
mlm_C1H3B2W2_06e97c,4,5,-0.1581100879112313,-0.5964307137918823,-0.1615905400127846,-0.14411711,0.19483624,-0.270354
mlm_C1H3B2W2_06e97c,5,5,-0.2390530229573397,-0.6183833553351997,-0.1481708385372907,-0.09976751,0.2109962,-0.220526
mlm_C1H3B2W2_06e97c,6,6,-0.3392954330985078,-0.5976883804588773,-0.2819771490645147,-0.23779176,-0.07116016,-0.299863
mlm_C1H3B2W2_06e97c,7,74,0.6548203069562775,0.5353682974723324,0.0147787525402597,-0.15168143,-0.8242649,0.084687
mlm_C1H3B2W2_06e97c,8,74,0.0825991049364301,0.5462515446503929,0.0863722378316035,0.18364534,0.09613906,0.163873
mlm_C1H3K1Rb1Ta2_8ffa56,1,1,-0.0166607007787282,0.0188117796862794,-0.0141739665881275,0.07177634,0.05462392,0.015095
mlm_C1H3K1Rb1Ta2_8ffa56,2,1,-0.1031742332158653,-0.1537069830711278,-0.2694841711081571,-0.08744245,-0.19963216,-0.180629
mlm_C1H3K1Rb1Ta2_8ffa56,3,1,-0.444445556771917,-0.1409984436925037,-0.3040008629837198,-0.18376212,-0.21954865,-0.234966
mlm_C1H3K1Rb1Ta2_8ffa56,4,6,-0.1301340730516664,-0.5698467347491232,-0.4227841976068462,-0.26942725,-0.29126083,-0.383669
mlm_C1H3K1Rb1Ta2_8ffa56,5,19,0.6867426529397007,0.7613850680599914,0.6328037518236879,0.73334297,0.75304177,0.709281
mlm_C1H3K1Rb1Ta2_8ffa56,6,37,0.6150308472526933,0.7083913020877318,0.7220203069435895,0.56542193,0.61426842,0.647826
mlm_C1H3K1Rb1Ta2_8ffa56,7,73,0.3263650588841176,0.2449698982378729,0.3478172052208976,0.1288492,0.18305803,0.226941
mlm_C1H3K1Rb1Ta2_8ffa56,8,73,0.0662760047421489,0.1309941134408795,0.3078019342986756,0.04124137,0.10544951,0.200122
mlm_C1H3O2Ca1Bi1_41db0c,1,1,0.2520282279609869,0.334813694762093,0.1873951277411831,0.40796491,0.39321827,0.245684
mlm_C1H3O2Ca1Bi1_41db0c,2,1,0.0361271060504854,0.1656418593621451,0.1096619994389183,0.05242515,0.15348245,0.062719
mlm_C1H3O2Ca1Bi1_41db0c,3,1,0.2587531509121765,0.3344915973239099,0.1873308281084962,0.41046234,0.39916218,0.242655
mlm_C1H3O2Ca1Bi1_41db0c,4,6,-0.2518975359565072,-0.0057142447193365,0.1309299341125136,0.16263235,0.05921618,0.062571
mlm_C1H3O2Ca1Bi1_41db0c,5,8,-0.4194113827496757,-0.512497920749276,-0.212199049856552,-0.46045443,-0.21659629,-0.307514
mlm_C1H3O2Ca1Bi1_41db0c,6,8,-0.2236172043098621,-0.6824557599292784,-0.1704761553631275,-0.57835689,-0.43472296,-0.187999
mlm_C1H3O2Ca1Bi1_41db0c,7,20,1.1663359893703165,1.49534654964657,1.0695623490355952,1.22687352,0.7750005,1.21612
mlm_C1H3O2Ca1Bi1_41db0c,8,83,1.1816816487220314,0.8703742243031735,0.6977949667829728,0.77845304,0.87123968,0.665759
mlm_C1H4B2Na1_a8a9cd,1,1,-0.573005363347352,-0.2603767060676915,-0.4062095645172595,-0.43848835,-0.58992803,-0.436049
mlm_C1H4B2Na1_a8a9cd,2,1,-0.0373544014986324,-0.0449817158779358,-0.1493116065920336,-0.10136156,-0.25906767,-0.085837
mlm_C1H4B2Na1_a8a9cd,3,1,-0.1117395291172045,0.0004241778540554,0.0252542128881724,-0.04115769,-0.14774449,-0.005074
mlm_C1H4B2Na1_a8a9cd,4,1,-0.0974426213122201,-0.0114242842344489,-0.1461563103015874,-0.13156047,-0.26869627,-0.102445
mlm_C1H4B2Na1_a8a9cd,5,5,-0.0972619349858026,-0.4441049330996161,-0.1522818993167681,-0.120876,0.05409055,-0.142429
mlm_C1H4B2Na1_a8a9cd,6,5,-0.1222694473666601,-0.5370724770489718,-0.1571273535316941,-0.11090581,0.03366078,-0.166217
mlm_C1H4B2Na1_a8a9cd,7,6,-0.2564872044866466,-0.2763772018970171,-0.2705435068073484,-0.22569458,-0.27184497,-0.241304
mlm_C1H4B2Na1_a8a9cd,8,11,0.2955605021145385,0.5739131403716258,0.256376028178519,0.17004445,0.44953011,0.179372
mlm_C1H4Li1Rb1Hg1_c3e1fa,1,1,0.0138257158592628,-0.0265593520934663,-0.0318910324153684,0.01558929,-0.05754268,-0.032992
mlm_C1H4Li1Rb1Hg1_c3e1fa,2,1,-0.3491209225925162,-0.2370453789644471,-0.3393913594987485,-0.19635145,-0.39260896,-0.363145
mlm_C1H4Li1Rb1Hg1_c3e1fa,3,1,-0.0061006280833946,-0.0142184851906693,-0.0246481921400832,0.00771741,-0.04780194,-0.041461
mlm_C1H4Li1Rb1Hg1_c3e1fa,4,1,0.0003518382002306,0.0063630136682811,0.0061135872574097,0.01882644,-0.03760205,-0.015685
mlm_C1H4Li1Rb1Hg1_c3e1fa,5,3,0.1869329114267623,0.4376892824486913,0.1969652300992846,0.09290907,0.34944012,0.216181
mlm_C1H4Li1Rb1Hg1_c3e1fa,6,6,-0.4570506898134825,-0.5890938642424652,-0.2837350113440445,-0.3432199,-0.32699594,-0.359687
mlm_C1H4Li1Rb1Hg1_c3e1fa,7,37,0.3907451220397041,0.64092085605304,0.5357123745854415,0.13118598,0.38225232,0.496414
mlm_C1H4Li1Rb1Hg1_c3e1fa,8,80,0.2204166529634505,-0.2180560716789639,-0.0591255965438909,0.27334315,0.13085912,0.100392
mlm_C1H4N2S1Sr2Bi1_93a752,1,1,-0.3070342093037701,-0.111968924933163,-0.2435587766944995,-0.22845646,-0.02203818,-0.258598
mlm_C1H4N2S1Sr2Bi1_93a752,2,1,-0.0604253961039102,-0.0461524948863858,-0.1512721014695044,-0.17707713,-0.14008673,-0.076923
mlm_C1H4N2S1Sr2Bi1_93a752,3,1,0.0394871703949776,0.1017795551989095,0.0564688297012826,0.01628341,0.07418907,0.05861
mlm_C1H4N2S1Sr2Bi1_93a752,4,1,0.1334322438113527,0.1138525445117553,0.1002394475438535,0.11896603,0.21062508,0.067473
mlm_C1H4N2S1Sr2Bi1_93a752,5,6,-0.1442566061322132,-0.1326485271543775,-0.0392319819907589,-0.11115939,-0.10463067,-0.053176
mlm_C1H4N2S1Sr2Bi1_93a752,6,7,-0.1612919692321239,-0.3181013321255543,-0.0810012660526375,-0.1678364,-0.09850812,-0.101502
mlm_C1H4N2S1Sr2Bi1_93a752,7,7,-0.501961833243779,-0.5087626383314452,-0.2559466493357354,-0.493384,-0.40988665,-0.322075
mlm_C1H4N2S1Sr2Bi1_93a752,8,16,-0.3423864607703611,-0.5175070459935154,-0.2457438020337745,-0.37258548,-0.32396301,-0.305872
mlm_C1H4N2S1Sr2Bi1_93a752,9,38,0.7334831027928028,1.067912071737705,0.7379313334096481,0.87798461,0.58508149,0.779539
mlm_C1H4N2S1Sr2Bi1_93a752,10,38,0.7170781843086002,0.9851411167711728,0.750672559821468,0.87477421,0.62747207,0.671638
mlm_C1H4N2S1Sr2Bi1_93a752,11,83,0.8938757734621997,0.3664556752048964,0.3714424071006579,0.6624906,0.60174565,0.540891
mlm_C1H5Li2Mg1P2Po1_3c0012,1,1,-0.306251458636994,-0.227075580147699,-0.2222477224407991,-0.24688015,-0.29992324,-0.283935
mlm_C1H5Li2Mg1P2Po1_3c0012,2,1,0.0381174898347076,-0.0552232153790357,-0.0368589569977493,-0.03736396,-0.00769571,-0.028118
mlm_C1H5Li2Mg1P2Po1_3c0012,3,1,-0.0167729454599299,-0.0925786848517782,-0.116491055924824,-0.08165778,-0.3008971,-0.050265
mlm_C1H5Li2Mg1P2Po1_3c0012,4,1,-0.3375487273107609,-0.2398912803214089,-0.2733007859668451,-0.14764822,-0.32392363,-0.318958
mlm_C1H5Li2Mg1P2Po1_3c0012,5,1,-0.3063483721993969,-0.2315073112907035,-0.2229643581616333,-0.24943234,-0.30268508,-0.285401
mlm_C1H5Li2Mg1P2Po1_3c0012,6,3,0.0876023842524995,0.4628443449020151,0.1848765923493499,-0.17062722,0.38354886,0.120368
mlm_C1H5Li2Mg1P2Po1_3c0012,7,3,0.1323088905078516,0.3940024980314028,0.160365352345335,-0.09232265,0.35103477,0.164491
mlm_C1H5Li2Mg1P2Po1_3c0012,8,6,-0.1721970140731714,-0.5080836813855152,-0.3513679520951259,-0.21194012,-0.20418798,-0.230318
mlm_C1H5Li2Mg1P2Po1_3c0012,9,12,0.2286485951583111,0.533080687563842,0.3672996594387411,0.21682147,0.38546202,0.270925
mlm_C1H5Li2Mg1P2Po1_3c0012,10,15,-0.0789029526066055,-0.3703627149900184,-0.0364714398327493,-0.00921276,-0.24479816,-0.123993
mlm_C1H5Li2Mg1P2Po1_3c0012,11,15,-0.2954786079095924,-0.3315796288096223,-0.2382529736242376,-0.05539293,-0.78400476,-0.203958
mlm_C1H5Li2Mg1P2Po1_3c0012,12,84,0.0268227184430937,-0.333625433321479,-0.2145863590894618,0.08565666,0.34807001,-0.030837
mlm_C1H5N1O1Na1Tc2_2fecff,1,1,0.0707542918809407,0.029142993065695,-0.0189682238582069,0.09009596,0.06684695,0.023239
mlm_C1H5N1O1Na1Tc2_2fecff,2,1,0.1224155925235885,0.0300838106121064,0.0021447584891593,0.10158344,0.04814244,0.01218
mlm_C1H5N1O1Na1Tc2_2fecff,3,1,-0.1028178309558223,-0.0500873478970579,-0.1267243524958943,-0.13954992,-0.22956604,-0.180116
mlm_C1H5N1O1Na1Tc2_2fecff,4,1,-0.0073153820603877,0.1472133370473619,0.0946368559847796,0.09367697,0.07309376,0.087236
mlm_C1H5N1O1Na1Tc2_2fecff,5,1,0.0872230014397155,0.3370198942281698,0.2318491248515484,0.26663712,0.23659377,0.169178
mlm_C1H5N1O1Na1Tc2_2fecff,6,6,0.1178677848786935,-0.2100366293708864,0.0546735573403648,0.16307351,-0.00882626,-0.069283
mlm_C1H5N1O1Na1Tc2_2fecff,7,7,-0.267120053272758,-0.7732936944309642,-0.2066424780581946,-0.39528416,-0.3163572,-0.330572
mlm_C1H5N1O1Na1Tc2_2fecff,8,8,-0.3827035592310914,-0.4485516321327778,-0.2215012050090889,-0.48978183,-0.43782733,-0.279392
mlm_C1H5N1O1Na1Tc2_2fecff,9,11,0.4755463831747667,0.741098142018903,0.5927269556243443,0.8234635,0.79684931,0.608689
mlm_C1H5N1O1Na1Tc2_2fecff,10,43,0.2579632042155373,0.3456818731311724,0.2419301246703973,0.08265295,0.28089249,0.447336
mlm_C1H5N1O1Na1Tc2_2fecff,11,43,0.6281865673013534,0.8517292537282791,0.3558748824607909,0.40343247,0.49015811,0.511517
mlm_C1H6He1Li2B2Tl1_18297c,1,1,-0.2737412092712077,-0.086229181914484,-0.2269438123449131,-0.19302804,-0.50162498,-0.244403
mlm_C1H6He1Li2B2Tl1_18297c,2,1,-0.278259179370417,-0.0857122535894004,-0.2269650054932587,-0.19326564,-0.50176738,-0.245214
mlm_C1H6He1Li2B2Tl1_18297c,3,1,-0.0773888946166652,0.0392406330510957,-0.0674589726254424,-0.06271365,-0.09287622,-0.056371
mlm_C1H6He1Li2B2Tl1_18297c,4,1,-0.0048527251539303,0.068523273426691,-0.0436201895879673,0.00519131,-0.0183484,0.014156
mlm_C1H6He1Li2B2Tl1_18297c,5,1,0.0909491552775085,0.1627177630306998,0.1240657697149699,0.10385919,0.11935719,0.095626
mlm_C1H6He1Li2B2Tl1_18297c,6,1,-0.0869198349918627,0.1314983237535737,-0.0080798989322077,-0.03744896,-0.02492971,-0.028471
mlm_C1H6He1Li2B2Tl1_18297c,7,2,0.1565869853861246,0.0146709419160158,0.0851471606755947,0.08246869,0.0852124,0.103762
mlm_C1H6He1Li2B2Tl1_18297c,8,3,0.2451804738578724,0.4894071033507994,0.3827775108721729,0.18075729,0.50739704,0.28529
mlm_C1H6He1Li2B2Tl1_18297c,9,3,0.0904286959934542,0.4942847160335007,0.3630718212263622,0.10340204,0.58595878,0.262388
mlm_C1H6He1Li2B2Tl1_18297c,10,5,0.1880403096527874,-0.2224035959601147,0.1109797905011893,0.24317393,0.21306803,0.15646
mlm_C1H6He1Li2B2Tl1_18297c,11,5,0.4574455895899563,-0.1936356355595361,0.1089912112319726,0.3050719,0.22413887,0.268665
mlm_C1H6He1Li2B2Tl1_18297c,12,6,-0.2824472310264923,-0.0732548859880214,-0.0949852311363329,-0.2263974,-0.1744713,-0.170346
mlm_C1H6He1Li2B2Tl1_18297c,13,81,0.7749778646728736,0.2608927984491811,0.4930198458978603,0.68892934,0.57888566,0.55844
mlm_C1H6P2In1Tl1_110313,1,1,-0.1942089739581676,-0.0211546375623268,-0.1341466954466403,-0.1201699,-0.10130579,-0.146175
mlm_C1H6P2In1Tl1_110313,2,1,0.0038439284754315,0.050266921119085,-0.0090375795189495,-0.01311957,0.03594757,-0.035887
mlm_C1H6P2In1Tl1_110313,3,1,-0.0231940919928832,-0.0309198952471728,-0.1553661503011273,-0.12539985,-0.05439113,-0.067376
mlm_C1H6P2In1Tl1_110313,4,1,-0.19659402292803,-0.0308596310261221,-0.142336057143347,-0.13018116,-0.09482433,-0.152683
mlm_C1H6P2In1Tl1_110313,5,1,-0.0577671711434959,0.0577763945645638,0.002050397983172,0.03486818,0.09315954,0.019375
mlm_C1H6P2In1Tl1_110313,6,1,0.0036480150657101,0.0434234184749181,-0.0155649362356559,-0.01940628,0.02969681,-0.041095
mlm_C1H6P2In1Tl1_110313,7,6,-0.0332148828346341,-0.2800408764325102,-0.3047226202658656,-0.12668494,-0.10520186,-0.11644
mlm_C1H6P2In1Tl1_110313,8,15,-0.1963166627745641,-0.1984802819263855,-0.0232718959075834,-0.07204993,-0.10912747,-0.129506
mlm_C1H6P2In1Tl1_110313,9,15,0.069265752831879,-0.1322562733501916,0.0738363477442534,0.01218369,0.02546606,0.044276
mlm_C1H6P2In1Tl1_110313,10,49,-0.0980896917119616,0.2792771687462012,0.3615219905746563,0.08124741,-0.01255725,0.112006
mlm_C1H6P2In1Tl1_110313,11,81,0.7226278009707193,0.2629676926399418,0.3470371985170876,0.47871236,0.29313785,0.513503
